всё,all; all the time,Он всё говорит о работе|He talks about work all the time,,
то,that; then,"то есть; Если он здесь, то я уйду|that is (=i.e.); If he’s here, then I’ll leave",,
жить/по-,to live; p: live for a while,"i Я хочу жить там, где она живёт|I want to live where she lives; p поживу, поживёшь, past пожил, пожила, пожило",,
труд,labour,с трудом|with difficulty,,
"сам (f сама, n само, pl сами)",self,Он всё сделал сам|He did everything himself,,
хороший,good,Это хорошее вино|This is good wine,,
второй,second,второй день нового года|the second day of the New Year,,
через (+a),"across, via, after",через улицу; через час|across the street; in an hour’s time,,
место,place,Здесь нет места|There is no place/room here,,
после (+g),after,После работы мы идём домой|After work we go home,,
страна,country,в нашей стране|in our country,,
двадцать,twenty,двадцать домов|twenty houses,,
"должен (f должна, n должно, pl должны)","ought, obliged, must",Она должна идти; Мы должны быть там в десять|She must (is obliged to) go; We ought to be there at ten,,
больше,more,Он знает больше; больше хлеба|He knows more; more bread,,
ваш,your,Дом ваш|The house is yours,,
дверь (f),door,за дверью|behind the door,,
друг (pl друзья),friend,Мы с другом были в Москве|My friend and I were in Moscow,,
машина,machine; car,Мы смотрели на вашу машину|We were looking at your car,,
комната,room,В комнате холодно|It’s cold in the room,,
учиться (i),to study,Иван учится в университете|Ivan studies at university,,
над (+inst),above,над домом|above the house,,
голова,head,над вашей головой|above your head,,
почему,why,Почему вы не знаете?|Why don’t you know?,,
земля,"earth, land",жизнь на земле|life on earth,,
стол,table,Он сидит за столом|He is sitting behind (at) the table,,
давать/дать (+a +d),to give (sth to s.o.),"Мы даём слово, что всё сделаем|We give (our) word that we shall do everything",,
перед (+inst),"in front of, before",Он стоит перед домом|He is standing in front of the house,,
тогда,"then, at that time",Он тогда работал на заводе|He worked in a factory then,,
сидеть/по-,to sit (p: sit for a while),"Кто сидит в комнате?|Who is sitting in the room?; p посижу, посидишь",,
мальчик,boy,В комнате сидят мальчики|The boys are sitting in the room,,
девушка,girl,К Ивану пришла девушка|A girl has come to (see) Ivan,,
лето (g pl лет),summer; (after numbers) years,"лётом; тысяча лет|in the summer; 1,000 years",,
сегодня,today,Сегодня надо работать|Today one must work,,
сторона,side,на этой стороне|on this side,,
совсем,completely,Машина совсем новая|The car is completely new,,
маленький,small,Они живут в маленьком доме|They live in a small house,,
несколько (+g),"a few, some",несколько девушек|a few girls,,
вдруг,suddenly,Вдруг он спросил о Сталине|Suddenly he asked about Stalin,,
ни,not a,ни ... ни ...; Не было ни одного|neither ... nor ...; There wasn’t a single one,,
лицо,face; person,Я знаю ваше лицо|I know your face,,
конечно,of course,Конечно нет!|Of course not!,,
народ,(the) people,русский народ|the Russian people,,
начинать/начать,to begin,Мы начинаем понимать|We are beginning to understand; Он начал говорить|He began to speak,,
пять,five,Он живёт здесь уже пять лет|He has been living here for five years already,,
ведь,you know (expecting agreement),"Ведь он мой друг!|He’s my friend, you know!",,
вопрос,question,трудные вопросы|difficult questions,,
писать/на- (+a),to write,"Мальчик пишет|The boy is writing; я напишу, ты напишешь|I’ll write, you’ll write",,
письмо,letter,Я пишу письмо|I am writing a letter,,
при (+pr),in the presence/time of; attached to,при мне; при Сталине; при заводе|in my presence; under Stalin; attached to the factory,,
мать (f),mother,машина моей матери|my mother’s car,,
нужно,(it is) necessary,Мне нужно идти|I must go,,
смотреть/по-,to watch; (на +a) look (at),Она смотрит телевизор|She is watching television; Мы посмотрим фильм; Он посмотрел на меня|We’ll watch the film; He looked at me,,
сила,"strength, force",сила характера; демократические силы|strength of character; democratic forces,,
вместе,together,Мы пришли вместе|We arrived together,,
выходить/выйти,to go out,Она вышла из комнаты|She went out of the room; Я выхожу из дома; Ты тоже выходишь|I leave the house; You leave too,,
любить/по- (+a),"to like, love; p: to fall in love with","Я люблю работать; Она вас любит|I like working; She loves you; p полюблю, полюбишь",,
дорога,road,по дороге домой|on the road (way) home,,
старый,old,Она любит старые картины|She likes old pictures,,
улица,street,Она живёт на нашей улице|She lives in our street,,
решать/решить (+inf/+a),to decide; solve,Она решила уйти; Кто решит задачу?|She decided to leave; Who will solve the problem?,,
книга,book,На столе лежат пять книг|There are five books on the table,,
всегда,always,Всегда так|It is always like that,,
голос,voice; vote,Голос у неё хороший|She has a good voice,,
значить (i),to mean,Что это значит?|What does this mean?,,
сразу,at once,Она ответила сразу|She answered at once,,
лишь,only (=только),Это лишь одна из причин|That’s only one of the reasons,,
минута,minute,Я приду через три минуты|I shall come in three minutes’ time,,
снова,again,Он начал снова|He began again,,
окно,window,Окно открыто|The window is open,,
бы,would (conditional particle),"Если бы она знала, она бы помогла|If she had known, she would have helped",,
уходить/уйти,to leave (on foot),Вы уходите?|Are you leaving?; Он ушёл из университета|He has left the university,,
девятьсот,nine hundred,тысяча девятьсот пятый год|(the year) 1905,,
последний,last,в последней комнате|in the last room,,
проходить/пройти,"to go through, pass (on foot)",Мы проходили мимо завода|We were walking past a factory; Пройдите в комнату! Она прошла мимо него|Go through into the room! She walked past him,,
отец,father,Она не думает об отце|She doesn’t think about (her) father,,
час,hour,три часа|three hours; three o’clock,,
просто,simply,Они просто не знают|They simply don’t know,,
видеть/увидеть,to see,Я увижу её; Она увидела отца|I’ll see her; She saw her father,,
же,emphasizes preceding word,Как же так?; Где же она? тот же дом|But how can that be?; Where on earth is she?; the same house,,
третий,third,Кто живёт в третьей квартире?|Who lives in flat number 3?,,
потому/потому что,that is why because,"Я ушёл, потому что он там|I left because he is there",,
никто,nobody,Никто не знает|Nobody knows,,
ждать/подо- (+a or g),to wait (for),"я жду; он ждёт; Ждите ответа!|I am waiting; he is waiting; Wait for an answer! /p подожду, подождёшь",,
сколько (+g),"how many, how much",Сколько лет?|How many years?,,
высокий,"high, tall",высокая девушка|a tall girl,,
лучше,better,"Он говорит лучше, чем вы|Не speaks better than you",,
получать/получить (+a),"to receive, get",Ты получишь письмо завтра|You will receive the letter tomorrow,,
почти,almost,почти год|almost a year,,
лес,"wood, forest",В лесу тихо|It’s quiet in the forest,,
конец,end,конец света; в конце года|the end of the world; at the end of the year,,
нога,leg/foot,"Ох, мой ноги|Oh, my feet",,
собственный,(one’s) own,собственными глазами|with one’s own eyes,,
сто,hundred,сто долларов; больше ста|a hundred dollars; more than a hundred,,
художник,artist,молодые художники|young artists,,
четыре,four,четыре времени года|four seasons,,
пока,while,пока он здесь|while he is here,,
пока не,until,пока он не придёт|until he comes,,
слушать/по- (+a),to listen to,Он слушает музыку|He is listening to music,,
путь (m),"way, journey",по пути|on the way,,
белый,white,белые дома|white houses,,
республика,republic,федеральная республика|federal republic,,
быстро,quickly,Мы шли быстро|We were walking quickly,,
куда,where (whither),Куда они пошли?|Where have they gone?,,
главный,main,Вот главная улица|Here is the main street,,
дети (pl),children,У них нет детей|They have no children,,
рассказывать/рассказать,"to tell, talk (about)",i Он рассказывал о войне|He was talking about the war; p Я расскажу вам историю; Он рассказал нам о них|I’ll tell you a story; He talked about them,,
совет,advice; council,хороший совет|a good piece of advice,,
газета,newspaper,Мы читали газету|We were reading the newspaper,,
понимать/понять (+a),to understand,Никто не понимает|Nobody understands; Вы меня не поняли|You haven’t understood me,,
пора,"it is time; time, season",Пора идти|It is time to go,,
твой,your (familiar),Я получил твоё письмо|I have received your letter,,
бывать (i),to be (repeatedly),Он часто бывает здесь|He is often here,,
находить/найти (+a),to find,"i: нахожу, находишь; Она нашла книгу?|Did she find the book?",,
песня,song,песня о лёте|a song about summer,,
имя (n),(first) name,Как ваше имя?|What is your name? g sg имени,,
партия,party (political),лидер партии|party leader,,
вечер,evening,летние вечера|summer evenings,,
опять,again,Почему вы опять здесь?|Why are you here again?,,
иметь (i) (+a),to have (with non-concrete object),иметь право что-то сделать|to have the right to do something,,
между (+inst),between,между городом и лесом|between the town and the wood,,
настоящий,real; present,настоящий друг; настоящее время|a real friend; the present time,,
план,plan,Какие у вас планы?|What are your plans?,,
правда,truth,Он сказал правду|He told the truth,,
сорок,forty,сорок человек|forty people,,
ходить/с-,to go there and back,"ходить в школу; Вчера мы ходили в кино; Я ходил по городу|to attend school; We went to the cinema yesterday; I walked round the town; p: схожу, сходишь",,
ходить/пo-,to walk around,ходить в школу; Вчера мы ходили в кино; Я ходил по городу|to attend school; We went to the cinema yesterday; I walked round the town,,
узнавать/узнать (+a),to recognize; find out,"i узнаю, узнаёшь; Я узнаю её; Мы узнали, где она живёт|I shall recognize her; We found out where she lives",,
поле,field,работать в поле|to work in the field,,
ночь (f),night,Спокойной ночи!|Peaceful night (Goodnight),,
входить/войти,to enter,Входите!|Come in!; я войду; я вошёл|I shall enter; I entered,,
красный,red,Красная площадь|Red Square,,
более,more,более интересная книга|a more interesting book,,
урок,lesson,уроки русского языка|Russian lessons,,
нельзя,it is not allowed; it is impossible,Вам нельзя курить здесь|You can’t smoke here,,
тело,body,части тела|parts of the body,,
рядом,alongside,Она сидела рядом со мной|She was sitting next to me,,
лежать/по-,"to lie, (p) lie for a while","i Газета лежит на столе|The paper is lying on the table; p p полежу, полежишь",,
про (+a),about (=о +pr) (coll),Он слышал про эту книгу|Не has heard about this book,,
интересный,interesting,интересные друзья|interesting friends,,
никогда,never,Мы никогда не найдём их|We shall never find them,,
район,region,в этом районе|in this region,,
нужный,necessary,"Всё, что нужно|Everything that is necessary",,
особенно,especially,особенно высокий дом|an unusually tall house,,
отвечать/ответить,to answer,Он отвечает на вопрос|He answers the question; Я отвечу на вопрос|I shall answer the question,,
начальник,"head, boss",Им нельзя говорить с начальником|They can’t speak to the boss,,
разный,"various, different",в разных странах|in various countries,,
тридцать,thirty,тридцать художников|thirty artists,,
десять,ten,в десяти республиках|in ten republics,,
мир,world; peace,мир во всём мире|peace in the whole world,,
картина,picture,книга с картинами|a book with pictures,,
комитет,committee,Центральный комитет|the Central Committee,,
мысль (f),thought,интересная мысль|an interesting thought,,
гость (m),guest,принимать гостей|to receive guests,,
старший,"elder, senior",старший сын|elder son,,
вид,"view, look; species",вид на море; вид спорта|sea view; type of sport,,
среди (+g),among,среди друзей|among friends,,
случай,"case, occurrence, chance",В таком случае я пойду к начальнику|In that case I shall go to the boss,,
народный,people’s,народная песня|folk song,,
помнить/вс- (+a/о +pr),to remember,Я помню её; Ты помнишь об этом?|I remember her; Do you remember that?,,
просить/по- (+a +inf),"to request, ask (s.o. to do sth)","Прошу вас не курить; Он просит вас зайти|I ask you not to smoke; He asks you to call; p: попрошу, попросишь; Я попросил его войти I asked him to come in",,
пусть,let,"Пусть идёт, если хочет|Let him go if he wants to",,
разговор,conversation,разговор о погоде|conversation about the weather,,
двор,"yard, court",сидеть во дворе|to sit in the yard,,
долго,for a long time,Она сидела долго|She sat for a long time,,
месяц,month; moon,три месяца; пять месяцев|3 months; 5 months,,
возвращаться/вернуться,to come back,"p я вернусь, ты вернёшься|I’ll return, you’ll return",,
союз,union,профсоюз|trade union,,
война,war,во время войны|during the war,,
хотя,although,"Они вернутся, хотя не хотят|They will return although they don’t want to",,
берег,"bank, shore",на берегу; берега реки|on the shore; banks of a river,,
целый,whole,Он ничего не делал целый день|He did nothing all day,,
группа,group,Они вернулись группами|They returned in groups,,
скоро,soon,Я скоро вернусь|I shall come back soon,,
студент,student,Разговор со студентами|A talk with the students,,
товарищ,comrade,школьные товарищи|schoolmates,,
часть (f),part,части света|parts of the world,,
спать/по-,to sleep,"я сплю, ты спишь|I am asleep, you are asleep",,
полный,full,жить полной жизнью|to live a full life,,
сюда,here (hither),Идите сюда!|Come here!,,
приезжать/приехать,to arrive (by transport),"Через два месяца он приедет в Лондон|In two months time, he will come to London",,
оно,it,- Где письмо? - Вот оно|- Where’s the letter? -There it is,,
женщина,woman,русские женщины|Russian women,,
собрание,"meeting, collection",на собрании|at a meeting,,
подходить/подойти (к +d),to approach; (+d) to suit,"i: подхожу, подходишь; Она подошла к нам|She came up to us",,
дерево (pl деревья),tree,деревья; много деревьев|trees; many trees,,
сад,garden,в нашем саду|in our garden,,
чуть,"hardly, just",чуть видно; Он чуть не упал|barely visible; He nearly fell,,
бояться (i) (+g),"to fear, be afraid",Я не боюсь|I am not afraid,,
заниматься (i) (+inst),to occupy oneself,заниматься языками|to study languages,,
папа (m),dad; Pope,папа римский|the Pope (in Rome),,
помощь (f),help,Им нужна помощь|They need help,,
прошлый,past,в прошлом году|last year,,
прямо,"directly, straight",Идите прямо!|Go straight on!,,
лучший,better; best,лучший друг; Всего лучшего!|best friend; All the best!,,
мастер,master,мастер своего дела|an expert at one’s job,,
секретарь (m),secretary,секретарь директора|director’s secretary,,
стена,wall,стены дома|walls of a house,,
оказываться/оказаться (+inst),to turn out (to be); to find oneself,"Оказалось, что он уже вернулся|It turned out that he had already returned",,
сын (pl сыновья),son,его сыновья; пять сыновей|his sons; five sons,,
брат,brother,мой братья; пять братьев|my brothers; five brothers,,
зачем,"why, for what",Зачем он пришёл?|Why has he come?,,
играть/сыграть,to play,Они играют в футбол|They are playing football,,
институт,institute; institution,у нас в институте|at our institute,,
пятый,fifth,пятый автобус|No. 5 bus,,
раньше,earlier,Он приедет раньше нас|He will arrive before us,,
тихо,quiet,В саду было тихо|It was quiet in the garden,,
чёрный,black,чёрный хлеб|black bread,,
великий,great,Пётр Великий|Peter the Great,,
завтра,tomorrow,Завтра будет собрание|There will be a meeting tomorrow,,
широкий,wide,широкие улицы|wide streets,,
мало (+g),few; not much,мало книг|few books,,
наконец,in the end,Наконец она узнала правду|In the end she learned the truth,,
плечо,shoulder,плечи|shoulders,,
разве,really,Разве он здесь?|Is he really here?,,
разве… не,surely,Разве вы не знаете?|Surely you know?,,
снег,snow,в снегу|in the snow,,
будущий,future (adj),в будущем году|next year,,
сердце,heart,с лёгким сердцем|with a light heart,,
трудно,(it is) difficult,Трудно её найти|It is difficult to find her,,
язык,language; tongue,на русском языке|in Russian,,
приходить/прийти,to arrive (on foot),Приходите к нам|Come and see us; Я пришёл первым|I arrived first,,
русский,Russian; a Russian,русская песня|Russian song,,
недавно,recently,Он был здесь недавно|He was here recently,,
советский,Soviet (adj),Советский Союз|Soviet Union,,
некоторый,"some, a certain",до некоторой степени|to a certain extent,,
продолжать/продолжить,to continue,Продолжайте!|Go on!,,
член,member,член клуба|club member,,
поэтому,consequently,"Я занят, поэтому не приду|I’m busy so I won’t come",,
замечать/заметить (+a),to notice,Никто не заметит|No one will notice,,
квартира,"flat, apartment",В квартире три комнаты|The flat has three rooms,,
уметь/с- (+inf),"to know how to; be able to, manage to","Его отец умеет говорить на пяти языках|His father can speak five languages. p: сумею, сумеешь",,
свет,light; world,солнечный свет; вокруг света|sunlight; round the world,,
назад,"back, ago",смотреть назад; два года (тому) назад|to look back; two years ago,,
школьник,schoolboy,три школьника|three schoolboys,,
домой,"home, homewards",Мы идём домой|We are going home,,
право,right; law,иметь право; изучать право|to have the right; to study law,,
сильный,"strong, powerful",сильные руки|strong hands,,
средний,middle; average,мужчина средних лет|a middle-aged man,,
дальше,further,Читайте дальше!|Read on!,,
задача,"task, problem",трудная задача|difficult task,,
бежать/по-,to run,"я бегу, ты бежишь, они бегут|I run, you run, they run",,
ветер,wind,сильные ветры|strong winds,,
помогать/помочь (+d),to help (s.o.),Он будет помогать нам|He will be helping us; Я тебе помогу; Ты поможешь мне|I shall help you; You will help me,,
словно,as if,словно он уже был там|as if he had already been there ,,
дорогой,"dear, expensive",дорогие книги|expensive books,,
история,history; story,история России|history of Russia,,
молчать/за-,to be silent; p: to fall silent,"я молчу, ты молчишь|I say nothing, you say nothing; p: замолчу, замолчишь",,
солнце,sun,сидеть на солнце|nothing to sit in the sun,,
дома,at home,Павел дома?|Is Pavel at home?,,
море,sea,открытое море; моря|the open sea; seas,,
огромный,enormous,У него огромная квартира|He has an enormous flat,,
ученик,pupil,ученики школы No. 5|the pupils of school no. 5,,
чувство,feeling,чувство юмора|sense of humour,,
петь/с- (+a),to sing,"я пою, ты поёшь|I sing, you sing; p спою, споёшь",,
борьба,struggle,борьба за власть|struggle for power,,
речь (f),speech,выступить с речью|to make a speech; русская речь|Russian speech (=spoken Russian),,
ехать/по-,to go (by transport),"Я еду на машине, а ты едешь на автобусе|I’m going by car, and you’re going by bus; я поеду, ты поедешь|I’ll go, you’ll go",,
хлеб,bread,много хлеба|a lot of bread,,
движение,"movement, motion",уличное движение|son to the park traffic,,
праздник,"holiday, festival",праздник Первого мая|May Day holiday,,
внимание,attention,обращать внимание на +а|to pay attention to/note,,
считать/счесть,(+a +inst) consider (sth/s.o. to be sth) ,"Я считаю это нужным|I consider this necessary /p сочту, сочтёшь, past счёл, сочла",,
считать/со-,to count,считать до десяти|to count to ten,,
иногда,sometimes,Он иногда помогает мне|He sometimes helps me,,
кричать/за-,to shout,"я кричу, ты кричишь|I shout, you shout; p: закричу, закричишь",,
фабрика,factory,Он работает на новой фабрике|He works at the new factory ,,
успевать/успеть (+inf),"to have time, to be in time",Вы успеете это сделать?|Will you have time to do this?,,
действительно,"really, actually",Это действительно так|It really is so,,
именно,"namely, exactly",Где именно?|Where exactly?,,
общий,general (adj),общее собрание; в общем|general meeting; in general,,
всякий,any,во всяком случае|in any case,,
директор,director,директор завода; директора|factory manager; managers,,
красивый,beautiful,красивая девушка|beautiful girl,,
номер,number; hotel room,номера|numbers,,
около (+g),near; about,"около дома; около тысячи рублей|near the house; about 1,000 roubles",,
парень (m),"lad, boy",Все парни считают её красивой|All the boys think her beautiful,,
хозяйство,economy,народное хозяйство|national economy,,
вокруг (+g),around,вокруг света|around the world,,
душа,soul,русская душа; от всей Души|Russian soul; with all one’s heart,,
четвёртый,fourth,в четвёртом номере журнала|in the fourth number of the journal,,
шесть,six,шесть учеников|six pupils,,
поднимать/поднять (+a),"to raise, lift",Я подниму руку; Ты поднимешь этот вопрос?|I shall raise my hand; Will you raise this question?,,
взгляд,"look, view",с первого взгляда|at first sight,,
инженер,engineer,шесть инженеров|six engineers,,
также,as well,"Иван, а также Борис|Ivan and also Boris",,
тяжёлый,heavy,тяжёлая промышленность|heavy industry,,
цветок (pl цветы),flower,два цветка; красивые цветы|two flowers; nice flowers,,
брать/взять (+a),to take,"i Я беру книгу, а ты берёшь газету|I take a book, and you take a paper; p Я возьму такси; Ты возьмёшь эту книгу?|I shall take a taxi; Will you take this book?",,
видно,"evident, visible",Конца ещё не видно|The end is not yet in sight,,
воздух,air,в воздухе|in the air,,
давно,(since) long ago,Мы давно здесь|We have been here a long time,,
забывать/забыть (+a or o +pr),to forget,"p Я забуду его, ты тоже забудешь о нём|I’ll forget him, you’ll forget about him too",,
из-за (+g),from behind; because of,из-за дождя|because of the rain,,
опыт,experience; experiment,По опыту знаю|I know by experience,,
звать/по- (+a),to call (s.o.); summon,"Как вас зовут? Он зовёт на помощь|What is your name? He is calling for help; p позову, позовёшь",,
стройка,building; building site,работать на стройке|to work on a building site,,
жена,wife,жёны|wives,,
молоко,milk,бутылка молока|bottle of milk,,
ставить/по- (+a),"to place, put (in a standing position)","i: ставлю, ставишь; Я поставлю машину здесь; Он поставит бутылку на стол|I will park my car here; He will put the bottle on the table",,
однако,however,"Однако, он забыл|However, he forgot",,
угол,corner,Он стоит на углу|He is standing at the corner,,
бумага,paper,писать на красной бумаге|to write on red paper,,
принимать/принять (+a),"to take, accept, receive",Президент примет его завтра; Я приму меры|The president will see him tomorrow; I shall take measures,,
длинный,long,длинная улица|long street,,
занятие,occupation; (pl) classes,занятия в университете|university studies,,
чистый,"clean, pure",чистые руки|clean hands,,
садиться/сесть,to sit down; get into (transport),"я сажусь, ты садишься|I sit down, you sit down; я сяду, ты сядешь; Сядем на автобус|I’ll sit down, you’ll sit down; Let’s take a bus",,
часто,often,Я бываю здесь часто|I come here often,,
шестой,sixth,шестая квартира|flat no. 6,,
военный,"military, war (adj); soldier",военное время; военные|wartime; soldiers,,
вставать/встать,"to get up, stand up","i: встаю, встаёшь; p: Я встану в восемь часов; Ты встанешь в семь|I shall get up at eight; You’ll get up at seven",,
игра,game,олимпийские игры|Olympic Games,,
кружок,"circle, club",член литературного кружка|member of a literary group,,
хозяин (pl хозяева),"master, boss, owner",хозяева своей страны|masters of one’s own country,,
никакой,(absolutely) no,Нет никакого сомнения; Он ни к какому выводу не пришёл|There is no doubt at all; He came to no conclusion,,
дядя (m),uncle,дядя Ваня|Uncle Vanya,,
живой,"alive, lively",живой ум|lively mind,,
деревня,village; countryside,много деревень; жить в деревне|many villages; to live in the countryside,,
образ,"manner, way, shape, image",образ жизни; таким образом; образ правления|way of life; thus; form of government,,
порядок,order,Всё в порядке|Everything is alright,,
строитель (m),"construction worker, builder",стать строителем|to become a construction worker,,
успех,success,иметь успех; успехи|to be successful; progress/success,,
приносить/принести (+a),to bring,"i: приношу, приносишь; Я принесу хлеб; Он принёс книгу|I shall bring the bread; He brought the book",,
слишком,"too, too much",слишком долго|too long,,
добрый,"good, kind",Доброе утро!|Good morning!,,
прежде,before,прежде всего|first of all,,
рассказ,story,рассказы Чехова|Chekhov’s short stories,,
семья,family,десять семей|ten families,,
утро,morning,в восемь часов утра|at eight o’clock in the morning,,
лагерь (m),camp,концентрационные лагеря|concentration camps,,
